Date,META
2024-07-17,458.90936279296875
2024-07-18,472.6770324707031
2024-07-19,473.6107177734375
2024-07-22,484.1499328613281
2024-07-23,485.4313049316406
2024-07-24,458.1941833496094
2024-07-25,450.38665771484375
2024-07-26,462.5947265625
2024-07-29,462.60455322265625
2024-07-30,460.1014099121094
2024-07-31,471.663818359375
2024-08-01,494.4210510253906
2024-08-02,484.88507080078125
2024-08-05,472.55780029296875
2024-08-06,490.7953796386719
2024-08-07,485.6598205566406
2024-08-08,506.2318115234375
2024-08-09,514.3175048828125
2024-08-12,512.5097045898438
2024-08-13,525.0155639648438
2024-08-14,523.2476196289062
2024-08-15,533.7470092773438
2024-08-16,523.9031372070312
2024-08-19,525.750732421875
2024-08-20,523.2177124023438
2024-08-21,531.5914916992188
2024-08-22,528.383056640625
2024-08-23,524.4793090820312
2024-08-26,517.6451416015625
2024-08-27,515.6386108398438
2024-08-28,513.3341674804688
2024-08-29,514.7644653320312
2024-08-30,517.8338623046875
2024-09-03,508.3475341796875
2024-09-04,509.3210144042969
2024-09-05,513.41357421875
2024-09-06,496.9341735839844
2024-09-09,501.42401123046875
2024-09-10,501.42401123046875
2024-09-11,508.4170227050781
2024-09-12,522.09521484375
2024-09-13,521.1218872070312
2024-09-16,530.2294921875
2024-09-17,533.2520141601562
2024-09-18,534.8727416992188
2024-09-19,555.9016723632812
2024-09-20,558.1387939453125
2024-09-23,561.1812744140625
2024-09-24,560.1075439453125
2024-09-25,565.0591430664062
2024-09-26,564.591796875
2024-09-27,564.114501953125
2024-09-30,569.1654663085938
2024-10-01,573.1721801757812
2024-10-02,569.5332641601562
2024-10-03,579.436279296875
2024-10-04,592.5308837890625
2024-10-07,581.4347534179688
2024-10-08,589.4984130859375
2024-10-09,587.1319580078125
2024-10-10,580.4901733398438
2024-10-11,586.5752563476562
2024-10-14,587.0425415039062
2024-10-15,582.9163208007812
2024-10-16,573.4905395507812
2024-10-17,573.6296997070312
2024-10-18,573.1721801757812
2024-10-21,571.8698120117188
2024-10-22,578.6806030273438
2024-10-23,560.4654541015625
2024-10-24,564.5320434570312
2024-10-25,569.9707641601562
2024-10-28,574.8526611328125
2024-10-29,589.8861694335938
2024-10-30,588.4146118164062
2024-10-31,564.3331909179688
2024-11-01,563.9155883789062
2024-11-04,557.47265625
2024-11-05,569.1554565429688
2024-11-06,568.7775268554688
2024-11-07,588.3151245117188
2024-11-08,585.9686889648438
2024-11-11,579.833984375
2024-11-12,581.4745483398438
2024-11-13,576.68212890625
2024-11-14,573.8583984375
2024-11-15,550.9104614257812
2024-11-18,551.2286376953125
2024-11-19,557.8804321289062
2024-11-20,562.2850341796875
2024-11-21,559.868896484375
2024-11-22,555.9415283203125
2024-11-25,561.8773193359375
2024-11-26,570.2590942382812
2024-11-27,565.9439697265625
2024-11-29,571.0346069335938
2024-12-02,589.438720703125
2024-12-03,610.1395874023438
2024-12-04,610.2689208984375
2024-12-05,605.4466552734375
2024-12-06,620.2017822265625
2024-12-09,610.06005859375
2024-12-10,615.7772216796875
2024-12-11,629.0608520507812
2024-12-12,627.1815795898438
2024-12-13,616.80126953125
2024-12-16,621.169677734375
2024-12-17,616.3933715820312
2024-12-18,594.2527465820312
2024-12-19,592.6408081054688
2024-12-20,582.3714599609375
2024-12-23,596.899658203125
2024-12-24,604.7608642578125
2024-12-26,600.3824462890625
2024-12-27,596.85986328125
2024-12-30,588.3319702148438
2024-12-31,582.6302490234375
2025-01-02,596.2926635742188
2025-01-03,601.6561279296875
2025-01-06,627.1004028320312
2025-01-07,614.8509521484375
2025-01-08,607.7161865234375
2025-01-10,612.8309326171875
2025-01-13,605.3380126953125
2025-01-14,591.3272705078125
2025-01-15,614.0848388671875
2025-01-16,608.2933349609375
2025-01-17,609.7561645507812
2025-01-21,613.4280395507812
2025-01-22,620.433349609375
2025-01-23,633.3196411132812
2025-01-24,644.3053588867188
2025-01-27,656.6343994140625
2025-01-28,671.013427734375
2025-01-29,673.1627197265625
2025-01-30,683.6210327148438
2025-01-31,685.7903442382812
2025-02-03,694.0296020507812
2025-02-04,700.7264404296875
2025-02-05,701.4031372070312
2025-02-06,708.4880981445312
2025-02-07,711.0057373046875
2025-02-10,713.87158203125
2025-02-11,716.259765625
2025-02-12,721.812255859375
2025-02-13,724.9766235351562
2025-02-14,733.0467529296875
2025-02-18,712.8466186523438
2025-02-19,700.30859375
2025-02-20,691.422607421875
2025-02-21,680.18798828125
2025-02-24,664.8438720703125
2025-02-25,654.26611328125
2025-02-26,670.386474609375
2025-02-27,655.0025024414062
2025-02-28,664.91357421875
2025-03-03,651.8281860351562
2025-03-04,636.8522338867188
2025-03-05,653.2411499023438
2025-03-06,624.841552734375
2025-03-07,622.5826416015625
2025-03-10,595.0488891601562
2025-03-11,602.7308959960938
2025-03-12,616.5127563476562
2025-03-13,587.7349243164062
2025-03-14,605.1494140625
2025-03-17,602.4603881835938
2025-03-18,580.01123046875
2025-03-19,581.7044067382812
2025-03-20,583.6365356445312
2025-03-21,593.8452758789062
2025-03-24,616.3540649414062
2025-03-25,623.783935546875
2025-03-26,608.5157470703125
2025-03-27,600.149658203125
2025-03-28,574.4139404296875
2025-03-31,574.0354614257812
2025-04-01,583.6365356445312
2025-04-02,581.5748901367188
2025-04-03,529.4758911132812
2025-04-04,502.6943664550781
2025-04-07,514.1678466796875
2025-04-08,508.39129638671875
2025-04-09,583.407470703125
2025-04-10,544.0867309570312
2025-04-11,541.3777465820312
2025-04-14,529.33642578125
2025-04-15,519.4166259765625
2025-04-16,500.2840881347656
2025-04-17,499.45745849609375
2025-04-21,482.705322265625
2025-04-22,498.2622985839844
2025-04-23,518.1717529296875
2025-04-24,530.9998168945312
2025-04-25,545.0628051757812
